DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
1002_Security_Cam,gafgyt,DTR,500,77,0.9993,0.9978,0.9993,0.9986,35,199
1002_Security_Cam,gafgyt,ADB,500,77,0.9989,0.9976,0.9974,0.9975,214,186
1002_Security_Cam,gafgyt,KNN,1000,154,0.9919,0.9887,0.9764,0.9824,2084,707
1002_Security_Cam,gafgyt,RFR,1000,154,0.9993,0.9977,0.9991,0.9984,55,203
1002_Security_Cam,gafgyt,DTR,1000,154,0.9993,0.9978,0.9993,0.9986,32,199
1002_Security_Cam,gafgyt,ADB,1000,154,0.999,0.9976,0.9979,0.9978,167,193
1002_Security_Cam,gafgyt,KNN,5000,768,0.9942,0.9908,0.9848,0.9878,1294,626
1002_Security_Cam,gafgyt,RFR,5000,768,0.9995,0.9983,0.9995,0.9989,23,152
1002_Security_Cam,gafgyt,DTR,5000,768,0.9997,0.9993,0.9996,0.9995,26,59
1002_Security_Cam,gafgyt,ADB,5000,768,0.9996,0.9986,0.9995,0.9991,23,123
1002_Security_Cam,gafgyt,KNN,10000,1536,0.9957,0.9918,0.9908,0.9913,727,615
1002_Security_Cam,gafgyt,RFR,10000,1536,0.9996,0.9988,0.9994,0.9991,35,102
1002_Security_Cam,gafgyt,DTR,10000,1536,0.9996,0.9993,0.9992,0.9992,61,55
1002_Security_Cam,gafgyt,ADB,10000,1536,0.9996,0.999,0.9995,0.9993,35,80
1002_Security_Cam,gafgyt,KNN,50000,7682,0.9963,0.9946,0.9934,0.994,439,311
1002_Security_Cam,gafgyt,RFR,50000,7682,1.0,0.9999,1.0,0.9999,0,9
1002_Security_Cam,gafgyt,DTR,50000,7682,0.9999,0.9999,0.9999,0.9999,9,4
1002_Security_Cam,gafgyt,ADB,50000,7682,1.0,0.9999,0.9999,0.9999,3,5
1002_Security_Cam,gafgyt,KNN,100000,15363,0.9964,0.9966,0.9943,0.9954,321,93
1002_Security_Cam,gafgyt,RFR,100000,15363,1.0,0.9999,1.0,1.0,1,3
1002_Security_Cam,gafgyt,DTR,100000,15363,0.9999,0.9999,0.9999,0.9999,4,2
1002_Security_Cam,gafgyt,ADB,100000,15363,1.0,1.0,1.0,1.0,0,0
1002_Security_Cam,gafgyt,KNN,200000,30727,0.9964,0.9965,0.9963,0.9964,110,7
1002_Security_Cam,gafgyt,RFR,200000,30727,1.0,1.0,1.0,1.0,1,0
1002_Security_Cam,gafgyt,DTR,200000,30727,1.0,1.0,1.0,1.0,1,0
1002_Security_Cam,gafgyt,ADB,200000,30727,1.0,1.0,1.0,1.0,0,0
1002_Security_Cam,mirai,KNN,10,1,0.9168,0.4584,0.5,0.4783,46584,0
1002_Security_Cam,mirai,RFR,10,1,0.9267,0.963,0.5597,0.5874,41022,0
1002_Security_Cam,mirai,DTR,10,1,0.9319,0.9654,0.5909,0.636,38113,0
1002_Security_Cam,mirai,ADB,10,1,0.9976,0.9858,0.9987,0.9921,0,1359
1002_Security_Cam,mirai,KNN,50,5,0.9907,0.9944,0.9445,0.9679,5161,53
1002_Security_Cam,mirai,RFR,50,5,0.9957,0.9951,0.9767,0.9857,2150,253
1002_Security_Cam,mirai,DTR,50,5,0.9961,0.9958,0.9787,0.9871,1969,204
1002_Security_Cam,mirai,ADB,50,5,0.9961,0.9958,0.9787,0.9871,1969,204
1002_Security_Cam,mirai,KNN,100,9,0.9906,0.9943,0.944,0.9675,5212,53
1002_Security_Cam,mirai,RFR,100,9,0.9986,0.9985,0.9922,0.9953,723,70
1002_Security_Cam,mirai,DTR,100,9,0.9936,0.9879,0.9696,0.9786,2752,839
1002_Security_Cam,mirai,ADB,100,9,0.9961,0.9965,0.9778,0.9869,2054,135
1002_Security_Cam,mirai,KNN,500,45,0.9937,0.981,0.9777,0.9793,1929,1583
1002_Security_Cam,mirai,RFR,500,45,0.9993,0.9959,0.9996,0.9977,5,381
1002_Security_Cam,mirai,DTR,500,45,0.9986,0.9928,0.9981,0.9954,115,668
1002_Security_Cam,mirai,ADB,500,45,0.9988,0.9931,0.9993,0.9962,5,648
1002_Security_Cam,mirai,KNN,1000,91,0.9945,0.9844,0.9793,0.9818,1810,1270
1002_Security_Cam,mirai,RFR,1000,91,0.9997,0.9992,0.999,0.9991,87,69
1002_Security_Cam,mirai,DTR,1000,91,0.9999,0.9997,0.9995,0.9996,41,27
1002_Security_Cam,mirai,ADB,1000,91,0.998,0.9988,0.9882,0.9934,1100,9
1002_Security_Cam,mirai,KNN,5000,454,0.995,0.9924,0.9756,0.9838,2205,478
1002_Security_Cam,mirai,RFR,5000,454,0.9999,0.9996,0.9998,0.9997,11,34
1002_Security_Cam,mirai,DTR,5000,454,0.9997,0.9996,0.9986,0.9991,128,21
1002_Security_Cam,mirai,ADB,5000,454,0.9995,0.9997,0.997,0.9984,273,1
1002_Security_Cam,mirai,KNN,10000,908,0.9961,0.9924,0.9833,0.9878,1473,537
1002_Security_Cam,mirai,RFR,10000,908,0.9999,0.9996,0.9999,0.9997,8,35
1002_Security_Cam,mirai,DTR,10000,908,0.9999,0.9995,0.9996,0.9996,32,40
1002_Security_Cam,mirai,ADB,10000,908,0.9998,0.9997,0.9993,0.9995,63,21
1002_Security_Cam,mirai,KNN,50000,4538,0.9962,0.9954,0.985,0.9901,1235,229
1002_Security_Cam,mirai,RFR,50000,4538,1.0,0.9998,0.9999,0.9999,5,13
1002_Security_Cam,mirai,DTR,50000,4538,0.9999,0.9998,0.9995,0.9996,40,14
1002_Security_Cam,mirai,ADB,50000,4538,1.0,0.9999,0.9999,0.9999,11,6
1002_Security_Cam,mirai,KNN,100000,9077,0.9959,0.9956,0.9878,0.9916,886,179
1002_Security_Cam,mirai,RFR,100000,9077,1.0,1.0,1.0,1.0,0,2
1002_Security_Cam,mirai,DTR,100000,9077,1.0,1.0,1.0,1.0,0,0
1002_Security_Cam,mirai,ADB,100000,9077,1.0,1.0,1.0,1.0,0,1
1002_Security_Cam,mirai,KNN,200000,18153,0.9947,0.9957,0.9901,0.9929,539,67
1002_Security_Cam,mirai,RFR,200000,18153,1.0,1.0,1.0,1.0,0,1
1002_Security_Cam,mirai,DTR,200000,18153,0.9999,1.0,0.9999,0.9999,6,0
1002_Security_Cam,mirai,ADB,200000,18153,1.0,1.0,1.0,1.0,0,1

